text,label
Git buralardan herkesi arkanda bırak git mutsuzluğunu al yanına gözyaşlarını topla git ,sadness
Agresifim herşeyden nefret edeceğim bir gece. ,anger
Patlama çok büyük... ürkütücü rakamlar var. Allah korusun Yarabbi :( ,fear
Gerçekte çift olmasını istediğim hiçbir shipim yok. Oha. ,surprise
Hiç hissetmediğim kadar özgür hiç olmadığım kadar mutsuz hiç düşünemeyeceğim kadar umutsuzum ,sadness
Sen ne kadar güzel harika ve süper dizisin :) ,joy
"Gerçekten hiç beklemiyordum, beklemiyorduk şahane bir sürpriz oldu verilen değerin değerini bilip değer vermek güzel bir meziyet ",surprise
Uzun bir süre sonra işe başlıyorum çok heyecanlıyım gerçekten ,joy
Sürpriz yaparken sürprizle karşılaşmak ,surprise
"Uyusam uyuyamam, çalışsam çalışamam, okusam okuyamam şaştım bu işe ",surprise
Sorgulamadan inanmama şaştım kaldım. ,surprise
Mal mısın kızım sen? Yoksa sende mi hırsızsın? ,anger
Son 2 yıldır hiç bu kadar mutlu olmamıştım. Teşekkür ederim Allah'ım ,joy
Hayırlı uzun güzel bir yaşam yazılsın ömrüne .. Doğum günün kutlu olsun dostum. ,joy
17. Kattayım 25 e çıkıcam ve kapalı alan fobim var ,fear
Bu korkunç durum son görevimizle ilgili değil. Haberimiz bile olmadan en baştan beri bu savaşın içindeydik biz.. ,fear
Babam makinamı kırdım diye bir daha almam diyor sinir küpüne dönüştü adam ,anger
Bts’i etiketlerden sürekli Beşiktaş çıkıyor delireceğim ,anger
Yazmayın bana sinirliyim ağzımda ters kelime çıkabilir ,anger
Hala yüzünüz kızarmadan gülebiliyorsunuz ya şaşkınlık verici. ,surprise
Yüzüne okumaya o kadar kaptırmışım ki kardeşimin bağırmasıyla ödüm koptu ,fear
Millet çok mutluyum alevimin doğum günüsü ,joy
Moralim o kadar bozuk ki böyle zamanlarda destek olacak biri olmalı yanında ama nerde bende o şans ,sadness
Açık sarı bizimle kaldı yaşasın ,joy
Dizinin arka planında uzun eşek oynayan Koreliler görmek de enteresan bir sürpriz oldu. ,surprise
Gerizekali ben ne diyorum sen ne halt yapıyorsun delireceğim ,anger
Bir türk kahvesi içiyim dönerim tekrar sohbet ederiz aşklar öptüm ,joy
Ts editörü o kadar uğraşmış ki kaç dilde teşekkür edeceğimi şaşırdım ?? ,surprise
Gerçeklere hayret etmek mucizesi bulsun hepimizi ,surprise
Kabus gibi bir günün ardından yarın 3/B ye dersim var. Ölmeden mezara girmek bu bence ,fear
Moralim bozuk ama niye bozuk onu bilmiyorum ,sadness
"Çok teşekkür ediyorum güzel bir sürpriz oldu benim için , İyiki varsınız ",surprise
"Resmini öptüm de yattım, iyi geceler ",joy
Keşke tek sosyal medya twitter kalsa bi anda insta falan çökse ,sadness
kültür ve iletişim dergisinin 40. sayısına ulaşabilsem keşke. ,sadness
Şey çok güzel değil mi ya ezan okunurken herkesin aynı anda kendine çeki düzen vermesi ,joy
Mutluyum ama efkarli şarkılar dinliyorum işte böyle de harikayım ,joy
Nerede lan benim çikolatalı sütüm bak sinirlendim. ,anger
Üzüldüm ama bunları yedirdiğin dutlara sayıyorum ,sadness
Endişe verici bir sakinlik bu içinden hiç çıkmak istemediğim ,fear
Ekmek arası peynir çok güzel bir besin kaynağı canım ekmek arası peynir ,joy
çıldıracağım kafayı yiyeceğim ,anger
üniversitenin bizleri soktuğu o korkunç durum ,fear
Böyle rüya mı olur kabus gibiydi resmen ,fear
Puzzle nasıl hobi olabilir tamamen sinir küpü olmak için ortaya atılmış bir şey ,anger
Haftalardır çantamda kitap gezdirip bir türlü okumaya fırsat bulamıyorum yıprandım. ,sadness
Antidepresan kullanmaya başladığımdan beri daha da agresif oldum bu işte bi terslik var ,anger
Az önce öyle bir cesaretle öyle bişey yaptım ki kendime şaştım yani oha ,surprise
Gece korktum sanırım..! Dudağım uçuklamış.. ,fear
Belgesellerde Duyamazsınız: Vahşi Doğadaki Hayvanlar ile İlgili 7 Şaşırtıcı Gerçek ,surprise
Genel olarak 7 öğün asabi ve agresifim ara öğünler sinirli. ,anger
Samuel Eto'o için sürpriz transfer iddiası ,surprise
"Fena şekilde hüzünlüyüm, dışarıdayım ve kulaklığım yok. Bu hayattaki görevim bitmiştir. ",sadness
Bizim için en büyük sürpriz hala Aykut kocamanın yaptığı yanlışları görmeyip yanlış yapmaya devam etmesi. ,surprise
Kim bilir belkide bağlanmaktan korkuyorum... ,fear
Bir haftadır sürekli limonlu sıcak su içmekten bıktım yeter hastalık peşimi bırak ,sadness
"Gözlerini neden öyle yapıyorsun, korkuyorum ",fear
"Kimin ahı varsa bende, gelsin özrümü dileyeyim de kapansın konu. Olmuyor böyle çok yoruldum vallahi bak. ",sadness
"Belirsizliklerden çok sıkıldım, net olun. ",sadness
Ben mutsuzluktan saçlarımı kestirmekten bıktım onlar mutsuz etmekten bıkmadılar. ,sadness
Açıklamasında birde yargı bağımsızlığı ile ilgili kısım var epey komik . ,joy
Sabah sabah aklımda ne işin var ya bir defol git... ,anger
Tam ölü taklidi yapmalık bir gün ,fear
son dakikaları çok güzel geçiyor bursa maçının ,joy
Hayret ettim. Böyle bir açıklama beklemiyordum. ,surprise
Yıprandım kimseye gücüm yok ,sadness
kendimi harika hissediyorum yeniden hayat doldum sanki ,joy
"Tekirdağ’da trafik kazası : 1 ölü, 3 yaralı ",fear
Gözümü kapıyorum o an geliyor Allah'ım ne korkunçtu ya ,fear
Uyumadığım zamanlar için çok pişmanım.. ,sadness
Bir süre ayağımdan asla çıkmıyacak bir ayakkabı aldım baya mutluyum ,joy
Fragmanın gelmediği her an daha da agresif hissediyorum bir şeyler oldu bana ,anger
Gerizekalı prim yaptığını anlamayacağımızı sanıyor ,anger
Oha gerçekten dünyayı gezmeden önce kendi ülkemi mi gezeyim? Ciddi olamazsın ya bu orijinal fikrin hemen patentini al. ,surprise
"Biraz da kayboldum, yoruldum ama kaçmadım savaş yanlısı saçlarından ",sadness
Korku filmi gibiydi. Evde yalnızım ve ışık bir yanıp bir sönüp kapandı. ,fear
Dünyadaki en kötü şey zamanını göz göre göre boşa harcadığını görmek. İliklerime kadar pişmanım anasını satayım. ,sadness
Oha benimki öylesine bir umut da sen belki arkasından geçtin ,surprise
Yaşasın 14 şubatta hediye alma derdi olmayanlar tayfası ,joy
Lan padişah diye bağırıyor gerizekalılar ,anger
Ne zamandır grip olmuyorum ne kötü bişeydir bu ya berbat hissediyorum kolumu zor kaldırıyorum ya! Ve gözlerim doluyor ,sadness
"Yorgunum, mutsuzum, umutsuzum ben bu üçgenin içinde kahrolup gidicem ",sadness
Aşk öpüşmekten dudakları morarana değil seni seviyorum derken yanakları kızarana yakışır. ,joy
Melek yüzlü adam bir an şeytana dönüştü korktum bir an ben ,fear
Çok yıprandım artık lisansı bitirip işsiz kaldığım evreye geçmek istiyorum. ,sadness
Size şimdi hayret edici birşey söylücem çoğu şehre kara kış gelmişken biz burdur da hala kısa kollu giyiyoruz ,surprise
Fineas ve förb izliyordum kliplerinin top 10 listesini verdiler çok eğlendim çok mutluyum ,joy
adam cama yazmış kocaman 'hayalet sütyen gelmistir' ürktüm :) ,fear
Çok sinirliyim her an camdan atlayabilirim ,anger
Oha burak yılmaz ofsayta yakalanmadı. ,surprise
"Ee sonra nolmuş ? Hadi canım sen de, ciddi misin ? İnanmıyorum ? ",surprise
Klasik sınavlardan nefret ediyorum. Test sanki modern çağın sınavıymış gibi geliyor ,anger
Şu okulda bir şeyler kaybetmekten sıkıldım artık Okul okul değil kara delik sanki ,sadness
Evet karanlıktan korkuyorum hatta ödüm bokumda şu an ,fear
Neyi kutlayacağımı şaşırdım. ,surprise
Bunu duyduğuma sevindim İyi çalışmalar diliyorum ,joy
Yaklaşık bir saat önce yine AR2673 güneş lekesinde patlama oldu. Gelen görüntüler ürkütücü ,fear
"Günaydın, bugün harika hissediyorum tüm iğrençliklerden uzak :) çok şükür ",joy
Türkmeneli Futbol Milli Takımı ziyaretimize geldi. Bizim için çok güzel bir sürpriz oldu. ,surprise
Her şeyin bilincindeyim keşke olmasam ,sadness
Serra birden şiir okumaya başladı korktum ,fear
Güzel sanatlardaki uzun saçlıları da beğendim ,joy
Allah'ım çok korkunçtu ya ,fear
Bir an da'yı ayıramadın sandım ödüm koptu. Gönlümü aldın ama ,fear
İstemsiz moralim bozuk sanırım hoşlanmıştım ,sadness
Bugün hiç tweet atmadım çünkü mutluyum :) ,joy
"Optimum çok kalabalık, müthiş bir atmosfer var, birazdan çıkacaklar, 3. salon da açıldı ",joy
Doğal olmak basit bir tavırdır ve bildiğin en sinir bozucu tavır... ,anger
bütün gün gerizekalı bir edebiyat ödevi için uğraştığıma inanamıyorum ya nefret ediyorum şu dersten nefret ,anger
Aşıların işe yaramadığını zannedenlerin sayısının artması endişe verici. Artık her yerdeler. ,fear
Böceklere karşı fobim var diye habire onlarla karşılaşmaktan BIK-TIM ,fear
"Bilader bir kelime var ama nerde nasıl olursa olsun sinir bozucu. ""Peki"" ",anger
Hayatımda ilk defa düdüklü tencere patlamasına denk geldim. O da benim çorba yapışıma denk geldi. Korkunçtu. İyiyim. ,fear
Türkiye'de çocuk olmanın bedeli korkunç... Bebek ölüm hızı binde 12... 2016'da zorla... ,fear
Nasıl karaktersizsiniz ya vallahi hayret ettim ama o kuş uçtu bebeğim ya. ,surprise
Hayatın espiri anlayışı şaşkınlık verici. ,surprise
Şirketin tüm dedikoduları bende toplanıyor bunaldım amk. ,sadness
"Bence Türkiye diyet yapılabilecek bir ülke değil, üzgünüm. ",sadness
Lan bu saatte doğa fotosu paylaşmak ne mal mısın ,anger
Bir fenerbahçeli olarak çok şaşırtıcı ama beşiktaşın turu geçeceğini düşünüyorum ve… ,surprise
Benimle ilgili yorum yapan saçma sapan insanlara hayatımı açıp baksana sen neresindesin diye göstermek istiyorum. ,anger
Otobüste bir delikanlı yer verdi yemin ederim ben şok hala umut varsa demek ,surprise
Atom diye sokaklarda pervasızca bağırmak istiyorum şu anda ,anger
Resmen rüyamı gerçek sanıyordum ve korktum ,fear
İnternetin kotası doldu çok öfkeliyim ,anger
Evladım yapmayın böyle şeyler be ödüm koptu ya ,fear
"yalnızım, mutsuzum, sıkıldım, çalışmak istemiyorum, açım ",sadness
Rüyamda resmen bilim kurgu filmi çektim ya inanılmaz güzeldi inanılmaz ,joy
Son farmakoloji dersini de veremedik ağlayacağım sayın seyirciler ,sadness
1 saatlik arada ne kadar çok iş başardım öyle ben şok ,surprise
"Güldüm, eğlendim keyfim yerine geldi ya ",joy
Nereden bakarsam bakıyım mutsuzum ,sadness
Ağlamayla dolu saatler bunlar hep... ,sadness
Yemin ederim sizinle uğraşamam benimle muhatap olmayın ,anger
vallahi delireceğim nereye düştük böyle amk ya ,anger
"sessiz iyi demeyin, bazen sessiz en gürültülü sesten daha ürkütücü. ",fear
Kartal bebişe kalp bulunmuş. Günün en mutluluk verici haberi ilan ediyorum ,joy
Spordan her geldiğimde boyum kısalmış mıdır diye korkuyorum neden amk ,fear
Oha fizikten 57 almışım ,surprise
uykuyu seçtiğim için pişmanım eve gelir gelmez ödül törenini izlicem ,sadness
"Malesef ki Hakkari'de bir Askerimiz Şehit oldu. Başımız sağolsun, Allah yakınlarına ve Ailesine sabır versin. ",sadness
Diyelim ki ben bu gece çok kötüyüm. Nasıl teselli edersiniz ,sadness
Sabah sabah seni televizyonda gördüm ben şok ,surprise
Şu an o kadar sinirliyim ki ilk gördüğüm insanı öldürebilirim ,anger
Pişmanlık duyduğunuz ne varsa yakın gitsin ,sadness
Altın kelebekte bir ilk İlk defa güzel başladı. vallahi beğendim ,joy
Vay be.. demekki bizden de kötü performans gösterenler varmış. ,surprise
"SK Hynix sürpriz yaptı, GDDR6 belleklerini piyasaya sürdü ",surprise
İnşallah bir daha karşıma çıkmazsın senden nefret ediyorum NEFRET ,anger
Saçlarımı kestirmeye geldim ben bile korkuyorum kendimden şu an ,fear
"Bugün çok yorgun ve mutsuzum, bir an önce ölmek istiyorum ",sadness
Çok hoş olduğunuz için çok teşekkür ederim ,joy
Çok komik bu adam. FED Başkanı sanıyor kendini. Bir havalar bir havalar :) ,joy
Tahmin ettiğim kişi mi? Ciddi olamazsın.. ,surprise
"Evdekilerden biri kalkıp tuvalete gitti şu an. Korku filmi gibi, ALLAH YARDIM ET ",fear
eğitim sistemi cidden berbat saçma sapan gerizekalı bir sistem ,anger
"yok artık inanmam vallahi, ne gerek vardı ki aslında :) ",surprise
Uyumadan önce çok acayip bir şarkı yazmışım. sevindim şu an. ,joy
Saat 9 dan beri su yok çıldıracağım ,anger
İlk kez İstanbula gelip zamanımı güzel değerlendirdim sanırım Dolu dolu geçti 4 gün Seri bitti çabuk döndüm Yarın yayın ,joy
Ya ya ben bile şoktayım senden bir sürpriz beklerdim ,surprise
Kardeş mal mısın ne o özürlü özürlü hareketler defol git uzakta yaşa ya ,anger
23 yaşıma geldim hala dişçiden korkuyorum ,fear
Hadi canım başka adam mı yoktu çok şoktayım ,surprise
İçinizde öldürdüğünüz kişiyi karşınızda görmek çok korkutucu değil mi? ,fear
Hava soğudu kaloriferleri kapattılar bu nasıl yurt ya delireceğim ,anger
Böyle bir şey okuduktan sonra nasil fikir beyan edebiliyorsunuz gerçekten anlamıyorum. Ben dondum kaldım. ,surprise
arkadaşlar bir süredir böyle aynı anda aynı şeyleri yazıyoruz korkutucu ,fear
Böyle bu şekilde olmasaydı keşke yıprandım duygularım köreldi ,sadness
Bana kısa cevap vermeyin çok sinir oluyorum ya ,anger
İnstagram keşfet sen nelere kadirsin skdajsk çok komik bir şey oldu az önce ,joy
Ortamda en olmayacak en imkansız kişi misiniz? Tebrikler size aşık oldum ,joy
bağıracağım şimdi o sen olsan bari diye ,anger
Özel hayatıma burnunu sokan insanlara karşı fobim var ,fear
Zihniyetini ayakta alkışlıyorum ego ne alaka kardeş sinir oluyorum boş insanları takip ediyorum diye. ,anger
Attığım tivik de gitmemiş delireceğim ,anger
Tüm Türkiye de size yapılan küfürler ile inliyor şu an. Şerefsizler. Hain sürüsü ,anger
Dow Jones herkesi yeterince korkuttu. Biraz yatay takılıp sonra yükselebilirsin mr. kovboy ,fear
Gittiğim gençlik kampı inanılmaz güzeldi.Bütün liderlerimi seviyorum ,joy
"İstediğin insanla mutlu ol, o yüzün hep gülsün ama lütfen artık defolup git şu aklımdan ",anger
Eve geldim mutluyum huzurluyum ,joy
Çok korkmuş benim güzel baharım ,fear
Kardeşim 300 liraya nerf almış olum mal mısın ya ,anger
6000 karakter çeviriyi bu kadar kısa zamanda ve bu kadar rahat bir şekilde yapmama epey şaştım.. ,surprise
İş görüşmesine gittim Paris mi Amerika mı diye sordular şoktayım cevap veremedim ?? ,surprise
Karadenizli olmayanların şive yapmaya çalışması çok sinir bozucu değil mi ,anger
İnanki ağlamadım hüzünlüyüm sadece ,sadness
Biraz yatırım yapsaydım keşke bak yine dertlendim ,sadness
bu seneki festivaller efsane geçiyor her gün festival olsa da coşsak ,joy
ardeşim montunu arkama bu şekil koymuş birden arkama dönünce irkildim ,fear
Rahatsız ediyormuşum gibi numarayı değiştirmek nedir ya inanamıyorum ,surprise
İçerde'ye ödül vermediler şu an exo'ya haksızlık yapılmış gibi kızgınım ,anger
"Bana yalan söylediğine üzülmedim, bundan sonra sana inanamayacağıma üzüldüm. ",sadness
Beyin henüz transfer edilemiyor sizin için üzgünüm ,sadness
Benden de inatçı biri varmış çok şaşırdım ben son dereceyim sanıyordum ,surprise
Susarak asil olmak bana göre değil illa küfür edeceğim ,anger
Haftasonu aralıksız saatlerce uyabilecek kadar yoruldum tükendim ağlamak istiyorum ,sadness
Ölüm mü bu yoksa araftamıyım özgür bu her ne ise yaşamaktan daha korkunç ,fear
Senin şu an haberin yok ama çok kızgınım sana. ,anger
Alışık olmadığım bir durum gereksiz mutluyum ?? ,joy
kaç büyüklüğündeydi bu ya korktum galiba ,fear
Dondum kaldım resmen ne pozisyon kaçırdılar be ,surprise
Elektrik gidince İdil sokağı. Böyle bir karanlıkta okula gitmek korkutucu oldu. ,fear
Bu yeni kuş ne biçim suratıma atlıyor ödüm koptu resmen ,fear
"Sabahın bu saatine kadar kaç korku filmi bitirdim hepsi kabus olacak, uyudu. ",fear
Bu takım her gol yediğinde kel kafalı başkan sana küfür edeceğim ,anger
Kale anaokulu'ndaki tüm mesai arkadaşlarıma teşekkür ederim. Güzel bir sürpriz oldu... ,surprise
Biraz Esra Erola bakayım dedim hüngür hüngür ağlıyorum anlık. Siz bunu nasıl izliyorsunuz ,sadness
Bu sistem beni yirmi iki bin beş yüz altmış tele borçlandırdı ama mutluyum ,joy
Bize bu ayrılığı reva görenlere de bir miktar kızgınım ,anger
Mayısı bekleme erken seçim yap ve defol git ,anger
Passolig ben cezayı Bozüyük vitraspordan aldım ya Beşiktaş bayern maçına girememek ne delireceğim ,anger
Arkadaşlığınıza bayılıyorum. Bu fotoğraf acayip hoşuma gitti. ,joy
Bir Karadeniz kızından gelebilecek en güzel hediye teşekkür ederim Sibelim var ol ,joy
Bir rüya gördüm çok korkunçtu. ,fear
ya sabah sabah sinirden köpürdüm yine gram tahammülüm kalmadı patlıyacam çok yakında ,anger
"Ya bu kısım inanılmaz güzeldi, Namjoon sana aşığım ",joy
Bugün Robinimle sahilde bir güzel eğlendik ,joy
Mesleki gelişim 55 mi haha harika hissediyorum ,joy
Ya of 4 senedir şu okula gelip gitmekten bunaldım artık sıralar bile bana ' yine mi sen geldin ? ' diyor ,sadness
NtvSpor’un kapanmasıyla bu Kırmızı Çizgi programının bitecek olmasından dolayı çok mutluyum ,joy
Artık aşkım var çok mutluyum aşkımla ,joy
Bu 3 yaş düzeyi zırvalamayı neyle izah edeceğimi şaştım savcım ,surprise
"Hayat hiç beklediğim gibi gitmiyor ve ben buna çok sinirleniyorum, doktor hanım. ",anger
Şu an sokağa çıkıp sağda solda eyşana küfürler saçmak istiyorum sinirden delirdim resmen ,anger
kardeş tıp bayramın mübarek olsun ,joy
Sırf inat ve egonuz yüzünden bu küfürler ,anger
Serdar Azizi TT görünce gene sakatlandı sandım ödüm koptu ,fear
O kadar mutsuzum ki nasıl anlatayım ki? ,sadness
Kolaya giden maçları zora çevirmekte üstümüze yok. Sinir küpü durumlar. ,anger
"En ufak abartı yok bu diyeceğimde. Bazı günleri, bazı insanları ve bazı anları özlemekten soldum, tükendim, halim kalmadı. ",sadness
salak mısın ya gerizekalı yemin ediyorum mal matematikten farkın yok ,anger
Ben bile hayret ettim şu yaptıklarıma ,surprise
Severek ayrılanlar bilirler ayrılığı. Severek ayrılanlar yaşarlar pişmanlığı.. ,sadness
Mirayı kız kardeşim olarak atadım öyle çok seviyorum ,joy
Bu baş ağrısı ders çalışmama engel oluyor bu yüzden agresifim ,anger
özelden arıyorsunuz niye konuşmuyorsunuz amk mal mısınız ,anger
Gerçekten çıldırmış bu insanlar bir kere ya bir kere şaşıralım vay diyelim helal olsun ,surprise
O kadar sinirleniyorum ki kendime bile niye bu kadar sinirlendiğim için sinirleniyorum ,anger
Canavarlı korkunçlu kâbus gördüm. Bilinçaltım tbt yapıyor. ,fear
Bütün akrabalarımı stalkladımm çok eğlendim ,joy
Ne yani böylesi korkunç bir dünyanın bir de cehennemi mi var? ,fear
"Vedaları sevmiyorum, soguk oluyor, acı, mutsuz ",sadness
Bir kız alışveriş yapmaktan nefret eder mi? Ettim ,anger
Annem ben zannetti. Hiç alakamız yok ama sevindim. Çok güzelsin ya. ,joy
vallahi cok şaşkınlık verici ya şaşırdım :( ,surprise
Yemin ederim huzurum kalmadı bıktım ,sadness
Gerçek aşk'ı bulduğunda sevgisini öyle bir gösterir ki. Diğer insanlar bende seviyorum demeye utanır.. ,joy
Fırından yeni çıkmış yumuşacık anne kekini sevdiğim gibi seviyorum seni ,joy
Gol yedik ama ofsayt ödüm koptu dondum 3 saniye falan ,fear
sevdiğim insanlar yanımda değil ya çok sinir oluyorum ,anger
"Müthiş sesli Belçikalı Selah Sue, Raggamuffin'i söylüyor. Bu eski kayıtta henüz 17 yaşında. ",joy
Yağında durumu bu ne diyebilirim ki üzgünüm ,sadness
"Üzgünüm, tekrar birine kendimi anlatabileceğimi sanmıyorum. ",sadness
E devletten soy ağacıma bakıcam umarım laz çıkmam çok korkuyorum ,fear
Bu çok endişeli bir akla düşüş. ,fear
Gece tam bunu dedim inanmıyorum ,surprise
Seni seven kalbim şu an senden nefret ediyor.. ,anger
Erkekleri artık anlayamıyorum çıldıracağım ,anger
regl olcağıma 3 saat trigonometri görseydim keşke iki aynı derecede işkence çeşidi ,sadness
Ama eskisindende agresif oldum kafamda filler dans ediyor ,anger
Çok korktum :(( hayatım gözümün önünden film şeridi gibi geçti ,fear
Moralim hala çok bozuk 1-2 gün fazla online olamam hakkınızı helal edin ,sadness
Söz dizisini bunca zamandır izlememiş olan benliğime bir miktar kızgınım ,anger
Gece rüyamda gördüğüm insanın sabah mesaj atması nedir ? ürktüm bir ,fear
"Ben böyle ilişki görmedim ömrümde, şaştım ",surprise
17 yaşındaki kuzenimin 37 yaşında bir adamla çıktığını(?) öğrendim napcağımı şaşırdım şu an boş boş ekrana bakıyorum ,surprise
Diriliş Ertuğrul'da oynayıp da bu cümleyi kurmasına hayret ettim. ,surprise
Tarih ve sosyoloji bilmeden güncel siyaset hakkında konuşmak insanı epey komik duruma düşürüyor. ,joy
3 senedir görüşmüyoruz ilk buluşmamız hastanede oldu şaşkınım ,surprise
Sen anlat Karadeniz paylaşımlarından bıktım ,sadness
"Ne kadar da güzelmiş, hoşmuş, iyiymiş bu dizi ",joy
Seni kaybetmekten o kadar korktum ki kaybettim ,fear
Buse makarna yapacak bu havada ben bile zor kaynıyorum su nasıl kaynasın amk dedi ben şok ,surprise
taksiciden biraz ürktüm sümkürüp kendinden tiksindir diyen fav ,fear
Bugün çok harika hissediyorum sadece bazen yarın pazartesi diye hatırlayınca biraz hüzünleniyorum ama geçiyor hemen :)) ,joy
Kaçın burdan başımıza taş yağacak ben irkildim ,fear
Bu saatte sela okunması ürkütücü ,fear
Telefonuma birini isim soyisimle kaydetmem için sevmiyor veya nefret ediyor olmam lazım ,anger
En çok da bilim ile ilgili konuşulurken işin içine din sokmalarına sinir oluyorum ,anger
Çok mutluyum çünki 6 aydır Hatay beni görmemişti ,joy
Annecim inanamıyorum sana nasıl bu kadar sorumsuz bir çocuk yetiştirebildin ,surprise
Kedilerin Diğer Hayvanlardan Daha Korkutucu Olduğu Anlar ,fear
Hem uyuyamıyorum uyuyunca da kabus görüyorum. Korku filmi sahnesi gibi ,fear
Bak o daha güzel fantezi çok da eğlenceli olur ?? ,joy
Hakikaten insanlar korkudan mı yoksa cidden umursamadığından mi bu halde. Çok korkunç durum ,fear
whatsap konusmalarindan ss aldığında bildirim filan gittiğini düşünsene.. ben bir irkildim. ,fear
Örümcek fobim var an itibariyle ,fear
Pazartesi ve 50 küsür hasta... şimdiden söyleyim çıldıracağım haberiniz olsun ,anger
"Seriyi Amazon'un üstlenmesinden daha endişe verici bir şey varsa, o da seriyi PJ'den başkasının eline bırakmak. ",fear
Az önce 60tl harcadım şimdi atmde sıra bekliyorum korkuyorum ,fear
İnsan gerçekten hayret ediyor. Bir insan her detayıyla nasıl bu kadar mükemmel olabilir ,surprise
Gençler aşık değilim sadece aşk açılı twitler atmayı seviyorum ,joy
Şu an yarına herhangi bir alarm kurmadığım için çok mutluyum ,joy
"Gökselle ortak noktamız varmış, ikimizde gök gürültüsü korkuyoruz... ",fear
Yanaklarımı sıkan insanlara sinir oluyorum ,anger
Sabaha babama sürpriz hazırladım maaş kartını blokladım Allah affetsin istemeden oldu ,surprise
Ben birini kaybetmekten korkuyorum siz nasıl korkmuyorsunuz ,fear
Risk almaktan hiç korkmadım ama sevdiklerimi üzerim diye ödüm koptu hep... ,fear
Germeyin oğlum beni sinirliyim agresifim bak ,anger
Böyle bir kabus olamaz highlighter im düşüp kırılıyordu paramparçaydı ne korktum ya ,fear
Ralli şampiyonasında facia! FIA helikopteri düştü: Ölü ve yaralılar var... ,fear
Sayenizde öğrendik; zehirli olmasa da görüntüsü ürkütücü... ,fear
"Eğer yanıtlarım seni korkutuyorsa, korkutucu sorular sormaktan vazgeçmelisin. ",fear
Yalnız ben bu tatil çok eğlendim tuhaf bir şekilde baya keyif falan alıyorum ,joy
Nasıl anlamazsınız hayret ettim! ,surprise
hamsi yedim güzel yapılmıştı beğendim keyifli hissediyorum ,joy
Final'i okuyunca bi irkildim 2 hafta kaldı ,fear
Ya artık birisi beni anlasın ya birisi ya yeter artık çıldıracağım ,anger
ben artık iyi şeyler olsun diye çaba sarf etmekten sıkıldım ,sadness
Konserden sonra hepinize küfür edeceğim nefret yorumları yapanlar. Ama şuan Jong dinlemem lazım. ,anger
gerçekten ürkütücü bir aile ama onlardan da olsam fena olmazdı diye düşünmüyor değilim ,fear
Arkadaşlar moralim bozuk ben sigara kullanmıyorum biri benim yerime yakabilir mi? ,sadness
Yanımda oturan kadın kendi kendine konuşuyor yemin ederim kafayı yiyeceğim ,anger
"Kendime onlara adayacağım içinde kaybolacağım kitaplar aldım, çok mutluyum ",joy
Çamura saplanan mandanın korkunç ölümü ,fear
